Taxon,NAm_CAmUpper,CAmLower,Choco_Caribe,Andes,Amaz,LAnt_PR,Cuba_Jam_Cay,Hisp,Bah
biporcatus,1,1,0,0,0,0,0,0,0
laeviventris,1,1,0,0,0,0,0,0,0
lemurinus,1,1,0,0,0,0,0,0,0
sericeus,1,1,0,0,0,0,0,0,0
unilobatus,1,1,0,0,0,0,0,0,0
bellipeniculus,0,0,0,0,1,0,0,0,0
bocourti,0,0,0,0,1,0,0,0,0
bombiceps,0,0,0,0,1,0,0,0,0
brasiliensis,0,0,0,0,1,0,0,0,0
caquetae,0,0,0,0,1,0,0,0,0
carlostoddi,0,0,0,0,1,0,0,0,0
chrysolepis,0,0,0,0,1,0,0,0,0
dissimilis,0,0,0,0,1,0,0,0,0
fuscoauratus,0,0,0,0,1,0,0,0,0
laevis,0,0,0,0,1,0,0,0,0
meridionalis,0,0,0,0,1,0,0,0,0
nasofrontalis,0,0,0,0,1,0,0,0,0
neblininus,0,0,0,0,1,0,0,0,0
ortonii,0,0,0,0,1,0,0,0,0
philopunctatus,0,0,0,0,1,0,0,0,0
phyllorhinus,0,0,0,0,1,0,0,0,0
planiceps,0,0,0,0,1,0,0,0,0
pseudotigrinus,0,0,0,0,1,0,0,0,0
punctatus,0,0,0,0,1,0,0,0,0
scypheus,0,0,0,0,1,0,0,0,0
squamulatus,0,0,0,0,1,0,0,0,0
tandai,0,0,0,0,1,0,0,0,0
trachyderma,0,0,0,0,1,0,0,0,0
transversalis,0,0,0,0,1,0,0,0,0
vaupesianus,0,0,0,0,1,0,0,0,0
blanquillanus,0,0,0,0,1,0,0,0,0
aeneus,0,0,0,0,0,1,0,0,0
bimaculatus,0,0,0,0,0,1,0,0,0
chrysops,0,0,0,0,0,1,0,0,0
desiradei,0,0,0,0,0,1,0,0,0
extremus,0,0,0,0,0,1,0,0,0
ferreus,0,0,0,0,0,1,0,0,0
forresti,0,0,0,0,0,1,0,0,0
gingivinus,0,0,0,0,0,1,0,0,0
griseus,0,0,0,0,0,1,0,0,0
kahouannensis,0,0,0,0,0,1,0,0,0
leachii,0,0,0,0,0,1,0,0,0
lividus,0,0,0,0,0,1,0,0,0
luciae,0,0,0,0,0,1,0,0,0
marmoratus,0,0,0,0,0,1,0,0,0
nubilus,0,0,0,0,0,1,0,0,0
oculatus,0,0,0,0,0,1,0,0,0
pogus,0,0,0,0,0,1,0,0,0
roquet,0,0,0,0,0,1,0,0,0
sabanus,0,0,0,0,0,1,0,0,0
schwartzi,0,0,0,0,0,1,0,0,0
terraealtae,0,0,0,0,0,1,0,0,0
trinitatis,0,0,0,0,0,1,0,0,0
wattsi,0,0,0,0,0,1,0,0,0
richardi,0,0,0,0,0,1,0,0,0
aequatorialis,0,0,0,1,0,0,0,0,0
anatoloros,0,0,0,1,0,0,0,0,0
anoriensis,0,0,0,1,0,0,0,0,0
antioquiae,0,0,0,1,0,0,0,0,0
antonii,0,0,0,1,0,0,0,0,0
apollinaris,0,0,0,1,0,0,0,0,0
boettgeri,0,0,0,1,0,0,0,0,0
calimae,0,0,0,1,0,0,0,0,0
cuscoensis,0,0,0,1,0,0,0,0,0
danieli,0,0,0,1,0,0,0,0,0
eulaemus,0,0,0,1,0,0,0,0,0
euskalerriari,0,0,0,1,0,0,0,0,0
heterodermus,0,0,0,1,0,0,0,0,0
huilae,0,0,0,1,0,0,0,0,0
inderenae,0,0,0,1,0,0,0,0,0
jacare,0,0,0,1,0,0,0,0,0
lamari,0,0,0,1,0,0,0,0,0
limon,0,0,0,1,0,0,0,0,0
maculigula,0,0,0,1,0,0,0,0,0
mariarum,0,0,0,1,0,0,0,0,0
megalopithecus,0,0,0,1,0,0,0,0,0
nicefori,0,0,0,1,0,0,0,0,0
orcesi,0,0,0,1,0,0,0,0,0
otongae,0,0,0,1,0,0,0,0,0
podocarpus,0,0,0,1,0,0,0,0,0
poei,0,0,0,1,0,0,0,0,0
proboscis,0,0,0,1,0,0,0,0,0
propinquus,0,0,0,1,0,0,0,0,0
ruizii,0,0,0,1,0,0,0,0,0
soinii,0,0,0,1,0,0,0,0,0
tetarii,0,0,0,1,0,0,0,0,0
tolimensis,0,0,0,1,0,0,0,0,0
vanzolinii,0,0,0,1,0,0,0,0,0
ventrimaculatus,0,0,0,1,0,0,0,0,0
vicarius,0,0,0,1,0,0,0,0,0
williamsmittermeierorum,0,0,0,1,0,0,0,0,0
agassizi,0,0,1,0,0,0,0,0,0
anchicayae,0,0,1,0,0,0,0,0,0
binotatus,0,0,1,0,0,0,0,0,0
chloris,0,0,1,0,0,0,0,0,0
festae,0,0,1,0,0,0,0,0,0
gorgonae,0,0,1,0,0,0,0,0,0
gracilipes,0,0,1,0,0,0,0,0,0
granuliceps,0,0,1,0,0,0,0,0,0
lynchi,0,0,1,0,0,0,0,0,0
lyra,0,0,1,0,0,0,0,0,0
macrolepis,0,0,1,0,0,0,0,0,0
medemi,0,0,1,0,0,0,0,0,0
mirus,0,0,1,0,0,0,0,0,0
