state,range
0,100000000
1,010000000
2,001000000
3,000100000
4,000010000
5,000001000
6,000000100
7,000000010
8,000000001
9,110000000
10,101000000
11,011000000
12,100100000
13,010100000
14,001100000
15,100010000
16,010010000
17,001010000
18,000110000
19,100001000
20,010001000
21,001001000
22,000101000
23,000011000
24,100000100
25,010000100
26,001000100
27,000100100
28,000010100
29,000001100
30,100000010
31,010000010
32,001000010
33,000100010
34,000010010
35,000001010
36,000000110
37,100000001
38,010000001
39,001000001
40,000100001
41,000010001
42,000001001
43,000000101
44,000000011
45,111000000
46,110100000
47,101100000
48,011100000
49,110010000
50,101010000
51,011010000
52,100110000
53,010110000
54,001110000
55,110001000
56,101001000
57,011001000
58,100101000
59,010101000
60,001101000
61,100011000
62,010011000
63,001011000
64,000111000
65,110000100
66,101000100
67,011000100
68,100100100
69,010100100
70,001100100
71,100010100
72,010010100
73,001010100
74,000110100
75,100001100
76,010001100
77,001001100
78,000101100
79,000011100
80,110000010
81,101000010
82,011000010
83,100100010
84,010100010
85,001100010
86,100010010
87,010010010
88,001010010
89,000110010
90,100001010
91,010001010
92,001001010
93,000101010
94,000011010
95,100000110
96,010000110
97,001000110
98,000100110
99,000010110
100,000001110
101,110000001
102,101000001
103,011000001
104,100100001
105,010100001
106,001100001
107,100010001
108,010010001
109,001010001
110,000110001
111,100001001
112,010001001
113,001001001
114,000101001
115,000011001
116,100000101
117,010000101
118,001000101
119,000100101
120,000010101
121,000001101
122,100000011
123,010000011
124,001000011
125,000100011
126,000010011
127,000001011
128,000000111
129,111100000
130,111010000
131,110110000
132,101110000
133,011110000
134,111001000
135,110101000
136,101101000
137,011101000
138,110011000
139,101011000
140,011011000
141,100111000
142,010111000
143,001111000
144,111000100
145,110100100
146,101100100
147,011100100
148,110010100
149,101010100
150,011010100
151,100110100
152,010110100
153,001110100
154,110001100
155,101001100
156,011001100
157,100101100
158,010101100
159,001101100
160,100011100
161,010011100
162,001011100
163,000111100
164,111000010
165,110100010
166,101100010
167,011100010
168,110010010
169,101010010
170,011010010
171,100110010
172,010110010
173,001110010
174,110001010
175,101001010
176,011001010
177,100101010
178,010101010
179,001101010
180,100011010
181,010011010
182,001011010
183,000111010
184,110000110
185,101000110
186,011000110
187,100100110
188,010100110
189,001100110
190,100010110
191,010010110
192,001010110
193,000110110
194,100001110
195,010001110
196,001001110
197,000101110
198,000011110
199,111000001
200,110100001
201,101100001
202,011100001
203,110010001
204,101010001
205,011010001
206,100110001
207,010110001
208,001110001
209,110001001
210,101001001
211,011001001
212,100101001
213,010101001
214,001101001
215,100011001
216,010011001
217,001011001
218,000111001
219,110000101
220,101000101
221,011000101
222,100100101
223,010100101
224,001100101
225,100010101
226,010010101
227,001010101
228,000110101
229,100001101
230,010001101
231,001001101
232,000101101
233,000011101
234,110000011
235,101000011
236,011000011
237,100100011
238,010100011
239,001100011
240,100010011
241,010010011
242,001010011
243,000110011
244,100001011
245,010001011
246,001001011
247,000101011
248,000011011
249,100000111
250,010000111
251,001000111
252,000100111
253,000010111
254,000001111
255,111110000
256,111101000
257,111011000
258,110111000
259,101111000
260,011111000
261,111100100
262,111010100
263,110110100
264,101110100
265,011110100
266,111001100
267,110101100
268,101101100
269,011101100
270,110011100
271,101011100
272,011011100
273,100111100
274,010111100
275,001111100
276,111100010
277,111010010
278,110110010
279,101110010
280,011110010
281,111001010
282,110101010
283,101101010
284,011101010
285,110011010
286,101011010
287,011011010
288,100111010
289,010111010
290,001111010
291,111000110
292,110100110
293,101100110
294,011100110
295,110010110
296,101010110
297,011010110
298,100110110
299,010110110
300,001110110
301,110001110
302,101001110
303,011001110
304,100101110
305,010101110
306,001101110
307,100011110
308,010011110
309,001011110
310,000111110
311,111100001
312,111010001
313,110110001
314,101110001
315,011110001
316,111001001
317,110101001
318,101101001
319,011101001
320,110011001
321,101011001
322,011011001
323,100111001
324,010111001
325,001111001
326,111000101
327,110100101
328,101100101
329,011100101
330,110010101
331,101010101
332,011010101
333,100110101
334,010110101
335,001110101
336,110001101
337,101001101
338,011001101
339,100101101
340,010101101
341,001101101
342,100011101
343,010011101
344,001011101
345,000111101
346,111000011
347,110100011
348,101100011
349,011100011
350,110010011
351,101010011
352,011010011
353,100110011
354,010110011
355,001110011
356,110001011
357,101001011
358,011001011
359,100101011
360,010101011
361,001101011
362,100011011
363,010011011
364,001011011
365,000111011
366,110000111
367,101000111
368,011000111
369,100100111
370,010100111
371,001100111
372,100010111
373,010010111
374,001010111
375,000110111
376,100001111
377,010001111
378,001001111
379,000101111
380,000011111
381,111111000
382,111110100
383,111101100
384,111011100
385,110111100
386,101111100
387,011111100
388,111110010
389,111101010
390,111011010
391,110111010
392,101111010
393,011111010
394,111100110
395,111010110
396,110110110
397,101110110
398,011110110
399,111001110
400,110101110
401,101101110
402,011101110
403,110011110
404,101011110
405,011011110
406,100111110
407,010111110
408,001111110
409,111110001
410,111101001
411,111011001
412,110111001
413,101111001
414,011111001
415,111100101
416,111010101
417,110110101
418,101110101
419,011110101
420,111001101
421,110101101
422,101101101
423,011101101
424,110011101
425,101011101
426,011011101
427,100111101
428,010111101
429,001111101
430,111100011
431,111010011
432,110110011
433,101110011
434,011110011
435,111001011
436,110101011
437,101101011
438,011101011
439,110011011
440,101011011
441,011011011
442,100111011
443,010111011
444,001111011
445,111000111
446,110100111
447,101100111
448,011100111
449,110010111
450,101010111
451,011010111
452,100110111
453,010110111
454,001110111
455,110001111
456,101001111
457,011001111
458,100101111
459,010101111
460,001101111
461,100011111
462,010011111
463,001011111
464,000111111
465,111111100
466,111111010
467,111110110
468,111101110
469,111011110
470,110111110
471,101111110
472,011111110
473,111111001
474,111110101
475,111101101
476,111011101
477,110111101
478,101111101
479,011111101
480,111110011
481,111101011
482,111011011
483,110111011
484,101111011
485,011111011
486,111100111
487,111010111
488,110110111
489,101110111
490,011110111
491,111001111
492,110101111
493,101101111
494,011101111
495,110011111
496,101011111
497,011011111
498,100111111
499,010111111
500,001111111
501,111111110
502,111111101
503,111111011
504,111110111
505,111101111
506,111011111
507,110111111
508,101111111
509,011111111
510,111111111
